user_id,team_id,full_name,email,role,created_at
81c5f477-9554-4aa2-9025-00efc7bee7a1,3516d754-0922-468d-a18e-bec14b831875,Isabella Kim,isabella.kim4507@example.com,dev,2025-08-27T20:19:32.357847
87a158bc-c691-46d5-807c-090b339a2bf1,31f3d5ca-0239-4fc3-97cd-260db942f87e,Hannah Allen,hannah.allen1425@example.com,qa,2025-12-16T19:20:32.357847
3dd774d1-a439-4ed4-ac5d-2085afac01d5,86d5fde5-b38d-4c5b-a6c5-9bf4717161f5,James Walker,james.walker9864@example.com,dev,2025-06-27T20:44:32.357847
03f6c768-2452-4dad-ac81-769655738bcf,39d9f497-5268-4264-9a05-c511203c28e9,Samuel Harris,samuel.harris3612@example.com,dev,2025-04-08T18:37:32.357847
9fd97a54-530c-4101-b96e-85cd7db0ce9a,90293151-f6f1-4afc-9120-171094fe00ae,Wyatt Sanchez,wyatt.sanchez5575@example.com,dev,2025-06-11T09:19:32.357847
3a1546a0-5e58-4682-b3d2-70cb1093bebf,86f31b19-7cd7-40d1-b031-0273cd4109a0,Logan Brown,logan.brown5882@example.com,pm,2025-04-22T17:39:32.357847
a21a7586-f0a6-4043-a7ca-ebbedf389120,4e1c9021-15f1-4a02-915e-da7bbc3280b6,Samuel Jones,samuel.jones6202@example.com,dev,2025-03-22T22:46:32.357847
3a834259-b6ce-458e-b37a-49a51ed3e1c3,318beaf9-d15f-4f84-ac27-dd5921a71511,Matthew Hernandez,matthew.hernandez1140@example.com,dev,2025-05-29T10:20:32.357847
1320c2a6-39b6-4c84-b3e7-dabbe918a4bb,d7e966c0-538c-419a-8744-55fd5feea121,Mason Thompson,mason.thompson4555@example.com,dev,2025-01-09T14:02:32.357847
9c91ed5d-bcae-4eb5-a6f7-4c1eb94ff1ea,318beaf9-d15f-4f84-ac27-dd5921a71511,Elijah Green,elijah.green4375@example.com,qa,2025-11-04T23:45:32.357847
06ad0efe-f42c-4dd0-9829-17709320f7d0,90293151-f6f1-4afc-9120-171094fe00ae,Samuel Hall,samuel.hall4011@example.com,dev,2024-12-25T10:26:32.357847
6f191070-08aa-4968-b6c4-56327ec1ddf1,3516d754-0922-468d-a18e-bec14b831875,Wyatt King,wyatt.king3599@example.com,qa,2025-11-21T11:33:32.357847
86b00237-9512-4eff-97ad-6deeb30e6647,546717cc-f5a8-4c27-9abc-8a8820f7fbb9,Michael White,michael.white4387@example.com,dev,2025-03-01T12:44:32.357847
d26e2e08-bd14-4ef7-bdac-5a4a75a84ed1,d9ce1a61-299b-477c-ad7e-7dba3afea44e,Ella Flores,ella.flores7518@example.com,dev,2025-08-28T11:38:32.357847
e71278aa-8f9e-4bee-af58-768cb7aee5c6,ffaade6c-98e2-47b9-9b30-de496a1006cb,Samuel Anderson,samuel.anderson9578@example.com,dev,2024-12-05T08:11:32.357847
d4baa46f-ce26-41af-b2f6-e4424a2f995d,4226a61a-6a2f-412f-adef-e4a088a54e21,Owen Robinson,owen.robinson1490@example.com,pm,2025-09-27T14:45:32.357847
